data,target
"b'Semantic scene classification, automatically categorizing images\ninto a discrete set of classes such as beach, sunset, or field,\nis a difficult problem. Current classifiers rely on low-level image\nfeatures, such as color, texture, or edges, and achieve limited success\non constrained image sets. However, the domain of unconstrained consumer\nphotographs requires the use of new features and techniques.\n \nOne source of information that can help classification is the\ncontext associated with the image. We have explored three types\nof context. First, spatial context enables the use of scene\nconfigurations (identities of regions and the spatial relationships\nbetween the regions) for classification purposes. Second,\ntemporal context allows us to use information contained in\nneighboring images to classify an image. We exploit elapsed time\nbetween images to help determine which neighboring images are most\nclosely related. Third, image capture condition context in the form of\ncamera parameters (e.g., flash, exposure time, and subject distance)\nrecorded at the time the photo was taken provides cues that are\neffective at distinguishing certain scene types.\n \nWe developed and used graphical models to incorporate image content\nwith these three types of context. These systems are highly modular\nand allow for probabilistic input, output, and inference based on\nthe statistics of large image collections. We demonstrate the\neffectiveness of each context model on several classification problems.'",1
"b""Using results from the field of robust statistics, we derive a class of\nKalman filters that are robust to structured and unstructured noise in the\ninput data stream. Each filter from this class maintains robust optimal\nestimates of the input process's hidden state by allowing the measurement\ncovariance matrix to be a non-linear function of the prediction errors.\nThis endows the filter with the ability to reject outliers in the input\nstream. Simultaneously, the filter also learns an internal model of input\ndynamics by adapting its measurement and state transition matrices using\ntwo additional Kalman filter-based adaptation rules. We present experimental\nresults demonstrating the efficacy of such filters in mediating\nappearance-based segmentation and recognition of objects and image sequences\nin the presence of varying degrees of occlusion, clutter, and noise.""",1
"b'We address the problem of domain-dependence in semantic role labeling\nsystems by attempting to bootstrap from unlabeled data in new domains.\nWe explore a variety of methods for bootstrapping, and compare two\nmachine learning techniques, decision lists and maximum entropy.'",0
"b""A selective vision system sequentially collects evidence\nto support a specified hypothesis about a scene,\nas long as the additional evidence is worth the effort of obtaining it.\nEfficiency comes from processing the scene only where necessary,\nto the level of detail necessary, and with only the necessary operators.\nKnowledge representation and sequential decision-making\nare central issues for selective vision, which takes advantage of\nprior knowledge of a domain's abstract and geometrical structure\nand models for the expected performance and cost of visual operators.\n\nThe TEA-1 selective vision system uses Bayes nets for representation\nand benefit-cost analysis for control of visual and non-visual actions.\nIt is the high-level control for an active vision system,\nenabling purposive behavior, the use of qualitative vision modules\nand a pointable multiresolution sensor. TEA-1 demonstrates that\nBayes nets and decision theoretic techniques provide a general,\nre-usable framework for constructing computer vision systems\nthat are selective perception systems, and that Bayes nets provide\na general framework for representing visual tasks.\nControl, or decision making, is the most important issue in a selective\nvision system. TEA-1's decisions about what to do next are based on\ngeneral hand-crafted ``goodness functions'' constructed around core\ndecision theoretic elements. Several goodness functions\nfor different decisions are presented and evaluated.\n\nThe TEA-1 system solves a version of the T-world problem,\nan abstraction of a large set of domains and tasks.\nSome key factors that affect the success of selective perception\nare analyzed by examining how each factor affects\nthe overall performance of TEA-1 when solving ensembles of\nrandomly produced, simulated T-world domains and tasks.\nTEA-1's decision making algorithms are also evaluated in this manner.\nExperiments in the lab for one specific T-world domain,\ntable settings, are also presented.""",1
"b""Bloom filters are compact set representations that \nsupport set membership queries with small, one-sided error \nprobabilities.  Standard Bloom filters are oblivious to \nobject popularity in sets and membership queries.  However,\nsets and queries in many distributed applications follow \nknown, stable, highly skewed distributions (e.g., \nZipf-like).  This paper studies the problem of minimizing \nthe false-positive probability of a Bloom filter by \nadapting the number of hashes used for each data object to \nits popularity in sets and membership queries.  We model\nthe problem as a constrained nonlinear integer program and \npropose two polynomial-time solutions with bounded \napproximation ratios --- one is a 2-approximation algorithm \nwith O(N^c) running time (c&gt;=6 in practice); the other is a \n(2+e)-approximation algorithm with running time O(N^2/e), \ne&gt;0.  Here N denotes the total number of distinct data \nobjects that appear in sets or queries.  We quantitatively \nevaluate our proposed approach on two distributed\napplications (cooperative caching and full-text keyword \nsearching) driven by real-life data traces.  Compared to \nstandard Bloom filters, our data popularity-conscious Bloom \nfilters achieve up to 24 and 27 times false-positive \nprobability reduction for the two applications respectively.\nThe quantitative evaluation also validates our solution's \nbounded approximation ratio to the optimal.""",2
"b'We have modified the public-domain Quake II game to support research\nand teaching. Our research is in multi-agent control and supporting\nhuman-computer interfaces. Teaching applications have so far been in an\nundergraduate Artificial Intelligence class and include natural language\nunderstanding, machine learning, computer vision, and production system\ncontrol. The motivation for this report is mainly to document our system\ndevelopment and interface. Only early results are in, but they appear\npromising. Our source code and user-level documentation is available on\nthe web. The information document is a somewhat motion-blurred snapshot\nof the situation in September 2004.'",1
"b'The safety of speculative parallelization depends on monitoring all\nprogram access to shared data.  Automatic solutions use either\nprogram instrumentation, which can be costly, or hardware-based\ntriggering,  which incurs false sharing.  In addition, not all access requires\nmonitoring. It is worth considering a manual approach in which\nprogrammers  insert access annotations to reduce the cost and increase the\nprecision of program monitoring.\n\nThis report first presents an execution model and its interface for\naccess annotation.  The semantics of an annotated program is defined \nby the output of a (sequential) canonical execution.  The report\nthen describes a quadratic-time checker that can verify the safety of\nannotations, that is, whether a speculative execution always produces\nthe canonical output.  The report demonstrates the usability of the\nannotation interface by safely parallelizing a number of code\nfragments that have uncertain parallelism.'",2
"b""In robot skill learning the robot must obtain data for training by\nexecuting expensive practice trials and recording their results.  The thesis\nis that the high cost of acquiring training data is the limiting factor\nin the performance of skill learners.  Since the data is obtained from\npractice trials, it is important that the system make intelligent\nchoices about what actions to attempt while practicing. \nIn this dissertation we present several algorithms\nfor intelligent experimentation in skill learning.\n\nIn open-loop skills the execution goal is presented and the controller\nmust then choose all the control signals for the duration of the task.\nLearning is a high-dimensional search problem.  The system must associate\na sequence of actions with each commandable goal. We propose an algorithm\nthat selects practice actions most likely to improve performance by\nmaking use of information gained on previous trials. On the problem of\nlearning to throw a ball using a robot with a flexible link, the algorithm\ntakes only 100 trials to find a ``whipping'' motion for long throws.\n\nMost closed loop learners improve their performance by gradient descent on\na cost function.  The main drawback of this method is convergence to\nnon-optimal local minima.  We introduce the concept of cooperation as a\nmeans of escaping these local minima. We assume the existence of several\ncoaches that each improve some aspect of the controller's performance.\nSwitching training between coaches can help the controller avoid locally\nminimal solutions. On the task of curve tracing with an inverted pendulum the\ncooperative algorithm learns to track faster than with a traditional method.\n\nIn an integrated system with scarce sensor resources it is preferable to\nperform tasks without sensing.  We observe that closed loop learning\ncan function as an efficient search technique for open-loop control. \nOur system starts with closed loop learning.  As it improves its ability\nto control the plant, it replaces sensor information with estimates. \nThe result is a controller that tracks long segments of a\nreference curve open loop.""",1
"b'State of the art plan recognition for use in natural language dialogue\nsystems has progressed in coverage of discourse phenomena and plan\nnavigation strategies. Most systems, however, suffer from several\ndeficiencies, namely, they do not have a specific strategy for the\n(inevitable) case where they make an incorrect hypothesis inference\nand they cannot handle interleaved plan navigation, where a user jumps\nback and forth between several plans.  In addition, most plan recognition\nsystems cannot handle the rich variety of possible natural language\nutterances a dialogue system may receive as input, especially the case\nwhere a language utterance corresponds to several actions that the system\nconsiders to be atomic.  We discuss previous work in plan recognition,\nespecially in the area of dialogues systems.  We then describe a plan\nrecognition system that can recover from incorrect inferences, handles\ninterleaved plan navigation, and handles several linguistic phenomena,\nincluding support for natural language multi-action paraphrase.'",0
"b'Proceedings of a workshop held in conjunction with the 12th International\nInternational Conference on Machine Learning in July 1995 in Tahoe City, CA.'",0
