data,target
"b'algorithms, approximations, and valid statistical inference'",14
b'investigation of internal stresses and strains induced by the olivine-spinel transformation  mechanical models and microstructural observations',3
b'asymptotic and statistical analysis of volitility and its implications for derivative pricing and risk management',6
"b""changes in corporations' worker discrimination and rights policies""",12
b'mathematical sciences  modeling and measurement of lightningand thunderstorm electrification',6
b'a proof-based declarative approach to visualizing concurrent computations',13
b'distinguishing between living and nonliving bacteria in the marine environment  evaluation of a combined molecular probe and vital staining procedure',10
"b'conference support for columbia university theory day; columbia university, new york; 1992-94'",15
b'mathematical sciences  investigations in order restricted inference and improved inference procedures',14
b'empirical studies of airline hub-and-spoke networks',2
b'innervation of fetal and neonatal muscle fiber types',9
"b'sorting, education, and inequality'",2
"b'credit, insurance and impediments to trade in theory and actual economies'",2
b'formal methods in concurrent and distributed systems',13
b'effect of hydrogen on the electrical conductivity of olivine',3
b'molecular and genetic analysis of hybrid breakdown during hyperosmotic stress in the copepod tigriopus calfornicus',10
"b'miscibility, microstructure, and magnetic properties of ulvoespinel - magnetite'",3
b'assessing the efficacy of the laws of war',11
b'two searches for observational evidence of inner core rotation',3
"b'the relations between team processes, organizational structure and team effectiveness'",12
b'efficient estimation in semiparametric time series models',14
b'parental work and family effects on children  the united states and great britain compared',12
"b'general equilibrium with incomplete markets  money, production, and default'",2
b'soil pathogen-mediated coexistence of tree species',1
b'fast provers for extended static checking of software',13
b'traffic management in ip networks',8
b'phase transformations in mantle minerals',3
b'liberal democracy measures 1980-1990',12
b'fifth north american meeting of new ers in statistics and probability',14
b'participation and social capital creation',12
"b'applied dynamical systems and singular perturbation theory for patterns, bubbles and chemical reactions'",6
b'mathematical sciences  statistical graphics  foundations of regression graphics',14
b'doctoral disseration  in political science  a theory and a model of state-dissident interactions',11
b'on principles of constitutional and international stability',11
b'mathematical sciences  robust stability and sensitivity of input-output systems',6
b'experimental manipulation of gypsy moth phenology relative to host budburst',1
b'the liquidity demand for money  theory and evidence',2
b'globec planning and implementation office for the globec initiative',10
"b'distribution, nutrition, physiology and phylogenetics of oligobacteria'",10
b'rui - nitric oxide inhibition of metamorphosis in a marine snail',9
b'bioavailability of carbon and iron from viral lysis products',10
b'faith-based community development as social movement phenomena',12
b'csedi   mineral physics based geodynamical modeling of anisotropic structure in the lower most mantle',3
b'using patent citation data to trace knowledge flows',2
b'boundary-value problems for new classes of nonlinearly elastic materials',6
"b'marine viruses infecting phytoplankton  host-specificity, temporal variability, decay rates and effects on natural phytoplankton communities'",10
b'seismic identification of deep reflectors and structural analysis of the colorado plateau margin',3
b'experience and expertise in strategic behavior',2
b'operational and equational semantics of process algebras',13
b'neural mechanisms for generating temporal coding',6
b'electoral competition with endogenous voter preferences',11
b'development and application of a new model for high temperature creep based on the jogged-screw model',7
"b'economic conditions, health investments, and health outcomes'",2
b'financial markets and financial intermediaries',2
b'conference  risk-based decision making in water resources x',5
b'task order #2  coordination and technical assistance for the urban  initiative (uri)',11
b'mathematical sciences  numerical methods for parameter estimation in distributed parameter systems',6
"b'workshop  assessing the science of inland aquatic ecosystems  , education, and applications'",1
b'an integrated framework for semantic-based analysis of logic programs',13
b'mathematical sciences  problems in nonliner continuum mechanics',6
"b'embedded economies, foreign direct investment in central and eastern europe'",12
b'crustal anisotropy and mantle stratigraphy in the tibetan plateau and central andes',3
b'user-level physical memory management',0
b'mathematical sciences  waves and stability in nonlinear partial differential equations',6
b'environmental and temporal patterns in land plant diversity through geologic time',1
b'political science program  eitm competition iiia  empirical implications of theoretical models summer institute',11
b'synapse formation and plasticity  synapse elimination',9
"b'the effect of racial, economic, and institutional characteristics on home mortgage lending to underserved markets'",12
"b'symposium  recent advances and new directions in mechanics, continuum thermodynamics, and kinetic theory'",6
b'mathematical modeling of microfluidic dynamics and transport',6
b'mathematical sciences  uniform asymptotic approximations of mathieu functions',6
b'political science  the persistence of presidential campaigns in the public agenda',11
b'mathematical problems for nonlinear inversion in intermediate and high contrast media',6
b'political science  the dynamic impact of preferential trade arrangements',11
b'intra- and interspecific variability in neurotoxin resistance  a study of coevolution between grasshopper mice and bark scorpions',1
b'stochastic adaptive control and related topics',6
b'new approaches to nonparametric regression estimation for continuous and discrete time series',14
b'u.s. globec  field studies on predatation mortality of copepods and fish larvae on georges bank',10
"b'misfit strain, dislocations and magnetism in epitaxial nano-dots'",7
b'development & application of molecular diagnostics for fe & p limitation of trichodesmium nitrogen fixation & productivity',10
b'interactions between plant chemicals and microbial communities through forest succession in the alaskan taiga',1
"b'the physics of the earthquake source and radiated waves  frequency dependence, spatial distribution, and directivity in elastodynamic models of repeated fault'",3
b'ecophysiology of the hydrothermal vent tubeworm riftia pachyptila',10
b'tabled logic programming for verification and program analysis',13
"b""discrete search problems and kraft's inequality""",15
b'robust multivariate analysis and outlier identification in massive data sets',14
b'computational systems with biological roots ii',15
b'benthic primary production on the south atlantic bight continental shelf -- areal efficiency of light utilization and biogeochemical significance',10
b'analysis of northridge earthquake aftershock recording (near 94) to explain enhanced damage zones',3
b'measurement of elastic properties of various materials by brillouin spectroscopy at high pressure',3
b'in situ pico-cyanobacterial growth rates in the sargasso sea based on cell-specific rrna measurements',10
"b'wcr  effect of changes in climate, snow pack, glaciers, and permafrost on river runoff in tien shan, central asia'",5
b'casualties of war and politics  american electoral politics and the korean and vietnam wars',11
b'information extraction as a basis for multi-faceted text categorization systems',0
b'asymptotic behavior of dynamical systems',6
b'characterization of hydrologically active sheet fractures',5
b'behavioral cues responsible for the initiation and maintenance of copepod swarms',10
b'nonlinear iv approach to inference in nonstationary panels',2
b'new directions in program checking',15
b'mathematical sciences  model selection for mixtures',14
b'genetic relation of neurotransmitter choice',9
b'mathematical sciences  inference on a change point in regression',14
"b'; ""the post soviet family  boundaries in transition'",12
"b'ismanam 2001 - the international symposium on metastable, mechanically alloyed and nanocrystalline materials; ann arbor, mi; june 24-29, 2001'",7
b'algorithmic analysis and congestion control of connection-oriented services in large scale communication networks.',8
b'singular and boundary control of multidimensional diffusion',6
b'the role of tenascin in cns and pns development',9
"b'the role of surface reactions and hydrogen surface diffusivity on the environmental embrittlement of (ni,fe)ti alloys'",7
b'mathematical sciences  approximation in stochastic programming and other variational problems',6
"b'bacteriolytic activity in the guts of deposit feeders  distribution, environmental influences, and mechanisms of differential susceptibility in'",10
"b'income and assets, race/ethnicity, and u.s. adult mortality'",12
b'mathematical sciences  mathematical problems in electromagnetism and elasticity',6
b'studies in game dynamics',2
b'investigations of behavior in strategic environments with unique mixed strategy solutions',2
b'thermodynamic modeling of aluminum and nickel ternary alloy systems',7
b'nazca- south america convergence and continental growth in the central andes via global positioning system (gps) measurements',3
b'molecular and biochemical basis for stable carbon isotope ratios in hydrothermal vent ecosystems',10
"b'thrust faults, subduction zones and global mantle flow'",3
b'globec 2000  gulf of alaska long-term observation program',10
b'job exit behavior  an empirical analysis for the u.s. usingsipp',2
b'on political competition and decentralization in democracies',11
"b'combinatorial generation, gray codes, and structure problems'",15
"b""gender, opportunity, and identity in new york's informal economy""",12
b'on the economics of eco-labeling',2
b'query optimization in heterogeneous environment',0
"b""thermec' 2003 international conference on processing and manufacturing of advanced materials; madrid, spain; july 7-11, 2003""",7
b'nature of spacetimes with mild singularities or cauchy horizons',4
"b'tenure, mobility and incumbency  testing and elaborated theory of occupational and firm labor markets'",12
"b'macromolecular fluids  theory, simulation and experiment'",6
b'csedi   multi-disciplinary study of the core-mantle boundary region',3
"b'comparative study of the bioenergetics, growth rates and food preferences of heterotrohic dinoflagellates and ciliates'",10
b'on the intermediation process and political decision making',11
b'photophysiological regulation of spectral quantum yield and its linkages to bio-optical properties of phytoplankton',10
b'design of cost sharing mechanisms',2
b'mathematical sciences  robust estimation and testing of econometric models for panel data',14
"b'in search of a sociopolitical community  the cases of egypt, iran, and jordan'",12
b'individual participation in collective political action',11
b'generation mechanism of non-seismic tsunamis',3
b'dispersal as a mechanistic basis for landscape ecology  the role of scale and heterogeneity',1
b'mathematical sciences  dynamical systems and neural networks',6
b'receptor phosphatases and control of neurite outgrowth',9
b'design of experiments and canonical moments',14
b'studies in intermediation and financial markets',2
b'nonlinear dynamical systems methods for turbulence',6
"b'mathematical sciences  ""wave motion in single-phase and multi-phase reactive media'",6
b'axon euidance genes in c. elegans',9
"b'multiple high-resolution records of geomagnetic field reversals from plio-pleistocene sediments in confidence hills, death valley, california'",3
b'mathematical sciences   in multivariate statisticalanalysis',14
